link,date,price,rooms,full_address,latitude,longitude,city_district,state,city,road,house_number,floor,total_floors,housing_type,total_area,living_area,kitchen_area,ceiling_height,repair,house_year,house_type,windows_view,bathrooms_num,parking,elevators_num,balcony_num,schools,hospitals,grocery_stores,kindergartens
https://samara.cian.ru/sale/flat/297856945/,2024-02-28 12:28:00,7100000,2,"Самарская область, Самара, р-н Кировский, мкр. Металлург, Советская ул., 60А",53.2304794,50.264678254988894,,Samara Oblast,Samara,Sovetskaya Street,60А,12,16,1,63.0,33.0,9.7,2.5,2,2016,1,,1,1,2,1,18,3,32,12
https://samara.cian.ru/sale/flat/293122248/,2024-03-02 06:31:00,6150000,2,"Самарская область, Самара, р-н Промышленный, мкр. Солнечный, Солнечная ул., 7",53.24056095,50.19048710001556,,Samara Oblast,Samara,Solnechnaya Street,7,8,9,1,52.8,,8.0,,3,1987,4,1,1,,1,1,8,9,23,5
https://samara.cian.ru/sale/flat/296089670/,2024-01-25 18:08:00,6000000,2,"Самарская область, Самара, р-н Октябрьский, Гаражная ул., 18",53.20946575,50.18103701590235,,Samara Oblast,Samara,Гаражная улица,18,2,9,1,46.2,29.0,7.7,,3,1972,4,2,1,1,1,2,12,6,20,14
https://samara.cian.ru/sale/flat/294991574/,2024-03-03 21:59:00,6900000,2,"Самарская область, Самара, р-н Кировский, мкр. Металлург, Енисейская ул., 56",53.2342165,50.27074033061612,,Samara Oblast,Samara,Енисейская улица,56,8,12,1,53.3,,12.0,,3,1992,1,1,1,,2,1,10,3,18,10
https://samara.cian.ru/sale/flat/298406175/,2024-03-18 08:56:00,7150000,2,"Самарская область, Самара, р-н Промышленный, мкр. Ипподром, Ново-Садовая ул., 373",53.2562912,50.21299675,,Samara Oblast,Samara,Novo-Sadovaya Street,373,9,12,1,53.1,30.0,9.0,2.6,2,1988,4,2,1,1,2,1,9,4,28,15
https://samara.cian.ru/sale/flat/298436369/,2024-03-12 12:23:00,6105000,2,"Самарская область, Самара, р-н Советский, ул. Свободы, 83А",53.2132919,50.24405685548096,,Samara Oblast,Samara,Svobody Street,83А,3,4,1,58.0,35.0,9.0,3.0,2,1957,1,1,1,1,,1,15,6,19,14
https://samara.cian.ru/sale/flat/298831921/,2024-02-28 13:45:00,6990000,2,"Самарская область, Самара, р-н Куйбышевский, мкр. Засамарская слобода, Осетинская ул., 4",53.15492545,50.07606350790805,,Samara Oblast,Samara,Осетинская улица,4,8,17,1,47.4,28.0,,2.7,1,2014,1,2,1,1,2,1,1,,6,5
https://samara.cian.ru/sale/flat/298548964/,2024-03-19 18:08:00,6100000,2,"Самарская область, Самара, р-н Октябрьский, Ново-Садовая ул., 1",53.20497105,50.1252406,,Samara Oblast,Samara,Novo-Sadovaya Street,1,9,9,1,35.2,22.0,6.2,2.5,3,1966,,2,1,,,1,16,3,30,15
https://samara.cian.ru/sale/flat/298134128/,2024-03-17 22:11:00,6700000,2,"Самарская область, Самара, р-н Промышленный, мкр. Солнечный, Демократическая ул., 12",53.26404265,50.21624895886444,,Samara Oblast,Samara,Demokraticheskaya Street,12,8,12,1,53.8,40.0,8.9,2.8,2,1992,4,2,1,1,2,1,9,3,18,8
https://samara.cian.ru/sale/flat/298597174/,2024-03-18 09:36:00,7600000,2,"Самарская область, Самара, р-н Советский, ул. Дыбенко, 118а",53.2083856,50.21840236909435,,Samara Oblast,Samara,Dyibenko Street,118А,10,10,1,55.0,31.0,9.0,2.8,2,2007,1,1,1,1,1,1,11,4,25,18
https://samara.cian.ru/sale/flat/299614235/,2024-03-14 20:50:00,6950000,2,"Самарская область, Самара, р-н Промышленный, мкр. Приволжский, Демократическая ул., 45",53.27095985,50.22521958493367,,Samara Oblast,Samara,Demokraticheskaya Street,45,7,9,1,52.8,29.0,9.2,2.5,1,,,2,1,,1,1,4,1,7,4
https://samara.cian.ru/sale/flat/296445209/,2024-03-13 08:43:00,6900000,2,"Самарская область, Самара, р-н Ленинский, ул. Осипенко, 134",53.20170785,50.1449705,,Samara Oblast,Samara,улица Осипенко,134,1,12,1,52.0,33.0,8.5,2.6,3,1979,4,2,1,1,1,1,12,6,31,14
https://samara.cian.ru/sale/flat/299571438/,2024-03-14 20:26:00,6350000,2,"Самарская область, Самара, р-н Красноглинский, мкр. Мехзавод, 1-й квартал, 75",53.30595015,50.28473015503556,,Samara Oblast,Samara,,,10,10,1,59.6,36.0,11.0,2.5,3,2023,,,1,1,1,1,6,1,9,6
https://samara.cian.ru/sale/flat/293119274/,2024-11-28 13:34:00,7300000,2,"Самарская область, Самара, р-н Октябрьский, Революционная ул., 79",53.2127621,50.1686875,,Samara Oblast,Samara,Revolyutsionnaya St,79,2,6,1,63.2,,,,3,1976,1,,,,,1,11,7,25,12
https://samara.cian.ru/sale/flat/294646098/,2024-01-04 07:32:00,6280000,2,"Самарская область, Самара, р-н Ленинский, Полевая ул., 65",53.2025716,50.1265033,,Samara Oblast,Samara,Polevaya Street,65,5,5,1,42.0,29.0,5.0,,3,1962,1,1,,,,1,15,3,33,18
https://samara.cian.ru/sale/flat/298919863/,2024-02-24 13:07:00,6500000,2,"Самарская область, Самара, р-н Советский, Партизанская ул., 192а",53.189905350000004,50.20062745620689,,Samara Oblast,Samara,Partizanskaya Street,192А,6,9,1,43.0,,8.0,,2,1991,1,,1,,1,1,8,2,21,11
https://samara.cian.ru/sale/flat/299570273/,2024-03-13 20:41:00,7250000,2,"Самарская область, Самара, р-н Промышленный, мкр. Приволжский, Демократическая ул., 43",53.267827249999996,50.22296104185358,,Samara Oblast,Samara,Демократическая улица (дублёр),43,4,12,1,54.5,23.0,10.0,,2,1984,4,1,1,,2,1,5,2,13,7
https://samara.cian.ru/sale/flat/269656390/,2024-03-05 18:40:00,7900000,2,"Самарская область, Самара, р-н Кировский, мкр. 13,14, Московское ш., 199",53.25468835,50.23005372759758,,Samara Oblast,Samara,Московское шоссе (дублер),199,7,25,1,69.0,38.5,10.9,2.7,,2022,,2,2,,3,2,13,2,30,13
https://samara.cian.ru/sale/flat/299028492/,2024-02-27 19:58:00,6000000,2,"Самарская область, Самара, р-н Ленинский, Владимирская ул., 26",53.198740150000006,50.13433619129388,,Samara Oblast,Samara,Vladimirskaya Street,26,9,9,1,46.8,31.1,7.0,2.5,3,1978,4,1,1,,1,1,18,3,35,18
https://samara.cian.ru/sale/flat/297284280/,2024-03-16 09:07:00,6150000,2,"Самарская область, Самара, р-н Промышленный, мкр. Приволжский, Молодежная ул., 13",53.257343649999996,50.22248967800574,,Samara Oblast,Samara,Molodyozhnaya St,13,10,12,1,55.0,30.0,12.5,2.7,3,1983,4,,1,1,2,2,15,2,32,13
https://samara.cian.ru/sale/flat/285880114/,2024-12-17 20:56:00,6200000,2,"Самарская область, Самара, р-н Октябрьский, Саранская ул., 19",53.2063067,50.1834356,,Samara Oblast,Samara,Саранская улица,19,2,5,1,53.4,29.7,7.8,2.5,3,1982,,,,,,1,16,6,22,11
https://samara.cian.ru/sale/flat/286572844/,2024-03-19 16:37:00,6400000,2,"Самарская область, Самара, р-н Советский, ул. Антонова-Овсеенко, 83",53.2116176,50.21786518019596,,Samara Oblast,Samara,улица Антонова-Овсеенко,83,4,12,1,56.4,36.0,8.0,2.46,3,2000,,2,1,1,1,1,9,3,26,13
https://samara.cian.ru/sale/flat/294438963/,2024-03-18 11:41:00,7500000,2,"Самарская область, Самара, р-н Самарский, мкр. Центр, Ленинградская ул., 48",53.18742815,50.0923527403133,,Samara Oblast,Samara,Leningradskaya St,48,1,2,1,75.0,40.0,15.0,,3,1917,1,1,,,,,11,3,21,3
https://samara.cian.ru/sale/flat/297805761/,2024-03-12 08:29:00,6500000,2,"Самарская область, Самара, р-н Промышленный, мкр. Солнечный, ул. 9-я Просека 2-я Линия, 21к7",,,,,,,,1,3,1,42.0,25.0,9.5,3.0,2,,,1,1,1,,,,,,
https://samara.cian.ru/sale/flat/299271546/,2024-03-05 10:55:00,6650000,2,"Самарская область, Самара, р-н Промышленный, мкр. Юнгородок, Береговая ул., 8В",53.20141955,50.2882495328604,,Samara Oblast,Samara,Береговая улица,8В,3,3,1,47.0,32.6,6.5,,3,1972,4,1,1,,,,2,,5,
https://samara.cian.ru/sale/flat/299287941/,2024-03-05 16:40:00,6800000,2,"Самарская область, Самара, р-н Промышленный, мкр. Юнгородок, Береговая ул., 4",53.2004856,50.28767367707981,,Samara Oblast,Samara,Береговая улица,4,2,2,1,48.0,6.7,33.0,,3,1949,1,1,1,,,,2,,5,
https://samara.cian.ru/sale/flat/299272923/,2024-03-05 11:28:00,6600000,2,"Самарская область, Самара, р-н Промышленный, мкр. Юнгородок, Береговая ул., 8А",53.2011991,50.28883419999999,,Samara Oblast,Samara,Береговая улица,8А,3,3,1,46.7,32.4,6.7,,3,1971,4,1,1,,,,2,,5,
https://samara.cian.ru/sale/flat/296919530/,2024-03-18 11:39:00,6899999,2,"Самарская область, Самара, р-н Октябрьский, ул. Стара-Загора, 50",53.22391045,50.19549945020546,,Samara Oblast,Samara,Stara-Zagora Street,50,10,10,1,56.0,33.3,7.9,,3,2000,4,2,1,1,1,1,3,,21,15
https://samara.cian.ru/sale/flat/299071581/,2024-02-28 20:05:00,6570000,2,"Самарская область, Самара, р-н Советский, ул. Мориса Тореза, 103",53.1968971,50.2024449,,Samara Oblast,Samara,Morisa Toreza St,103,2,9,1,44.6,23.0,8.0,,3,1982,,1,1,1,1,,15,2,22,15
https://samara.cian.ru/sale/flat/297889812/,2024-02-29 12:33:00,7100000,2,"Самарская область, Самара, р-н Кировский, мкр. 16,18, Черемшанская ул., 162",53.2349151,50.2465453,,Samara Oblast,Samara,Черемшанская улица,,2,18,1,80.7,,12.7,2.7,,,1,,1,1,2,1,20,4,23,14
https://samara.cian.ru/sale/flat/297887296/,2024-02-29 12:33:00,6000000,2,"Самарская область, Самара, р-н Железнодорожный, Спортивная ул., 12",53.191029,50.123895,,Samara Oblast,Samara,Sportivnaya Street,12,4,5,1,45.9,31.0,6.0,2.5,3,1961,4,1,1,,,1,9,6,24,10
